849118164360.074097, 15674 
27576.378465, 15675 
849118164365.892090, 15676 
27582.073927, 15677 
849118164371.589111, 15678 
27587.761402, 15679 
849118164377.275146, 15680 
27593.449950, 15681 
849118164382.950562, 15682 
27599.167943, 15683 
849118164388.665161, 15684 
27604.856968, 15685 
849118164394.353516, 15686 
27610.561490, 15687 
849118164400.026978, 15688 
27616.270423, 15689 
849118164405.729004, 15690 
27621.943951, 15691 
849118164411.436035, 15692 
27627.649426, 15693 
849118164417.135620, 15694 
27633.338928, 15695 
849118164422.807007, 15696 
27639.036894, 15697 
849118164428.505127, 15698 
27644.728899, 15699 
849118164434.201050, 15700 
27650.631905, 15701 
849118164440.025146, 15702 
27656.594872, 15703 
849118164445.990723, 15704 
27662.554860, 15705 
849118164451.948608, 15706 
27668.403864, 15707 
849118164457.660645, 15708 
27674.129367, 15709 
849118164463.391235, 15710 
27679.820776, 15711 
849118164469.100220, 15712 
27685.498238, 15713 
849118164474.802734, 15714 
27691.190720, 15715 
849118164480.501831, 15716 
27696.890235, 15717 
849118164486.191650, 15718 
27702.576756, 15719 
849118164491.884766, 15720 
27708.264351, 15721 
849118164497.574097, 15722 
27713.952899, 15723 
849118164503.252563, 15724 
27719.656825, 15725 
849118164508.932739, 15726 
27725.341320, 15727 
849118164514.632202, 15728 
27731.028318, 15729 
849118164520.346191, 15730 
27736.721873, 15731 
849118164526.061157, 15732 
27742.428303, 15733 
849118164531.753662, 15734 
27748.138309, 15735 
849118164537.440186, 15736 
27753.839374, 15737 
849118164543.128540, 15738 
27759.546399, 15739 
849118164548.874146, 15740 
27765.248895, 15741 
849118164554.605103, 15742 
27770.952821, 15743 
849118164560.315796, 15744 
27776.669741, 15745 
849118164566.034790, 15746 
27782.396197, 15747 
849118164571.747803, 15748 
27788.131714, 15749 
849118164577.454346, 15750 
27793.854713, 15751 
849118164583.159790, 15752 
27799.569249, 15753 
849118164588.867310, 15754 
27805.257201, 15755 
849118164594.597778, 15756 
27810.954213, 15757 
849118164600.310791, 15758 
27816.669226, 15759 
849118164606.031738, 15760 
27822.388172, 15761 
849118164611.735352, 15762 
27828.119636, 15763 
849118164617.435791, 15764 
27833.839178, 15765 
849118164623.146240, 15766 
27839.543223, 15767 
849118164628.858276, 15768 
27845.242143, 15769 
849118164634.574463, 15770 
27850.947142, 15771 
849118164640.296875, 15772 
27856.667161, 15773 
849118164645.992432, 15774 
27862.386584, 15775 
849118164651.706421, 15776 
27868.093491, 15777 
849118164657.406616, 15778 
27873.802900, 15779 
849118164663.129150, 15780 
27879.499912, 15781 
849118164668.855469, 15782 
27885.200977, 15783 
849118164674.571899, 15784 
27890.913010, 15785 
849118164680.276489, 15786 
27896.625519, 15787 
849118164685.983521, 15788 
27902.352452, 15789 
849118164691.685059, 15790 
27908.056974, 15791 
849118164697.394531, 15792 
27913.787484, 15793 
849118164703.126953, 15794 
27919.497013, 15795 
849118164708.863525, 15796 
27925.215483, 15797 
849118164714.596924, 15798 
27930.947065, 15799 
849118164720.328857, 15800 
27936.666608, 15801 
849118164726.050781, 15802 
27942.407131, 15803 
849118164731.758423, 15804 
27948.132634, 15805 
849118164737.470337, 15806 
27953.852057, 15807 
849118164743.183472, 15808 
27959.577560, 15809 
849118164748.901978, 15810 
27965.288520, 15811 
849118164754.630859, 15812 
27971.005082, 15813 
849118164760.357300, 15814 
27976.721644, 15815 
849118164766.092285, 15816 
27982.445240, 15817 
849118164771.812866, 15818 
27988.170743, 15819 
849118164777.534180, 15820 
27993.892789, 15821 
849118164783.247314, 15822 
27999.634266, 15823 
849118164788.968140, 15824 
28005.359769, 15825 
849118164794.676270, 15826 
28011.073351, 15827 
849118164800.394653, 15828 
28016.801357, 15829 
849118164806.124023, 15830 
28022.516966, 15831 
849118164811.850952, 15832 
28028.235435, 15833 
849118164817.581055, 15834 
28033.951998, 15835 
849118164823.299561, 15836 
28039.669991, 15837 
849118164829.020508, 15838 
28045.409441, 15839 
849118164834.724976, 15840 
28051.129460, 15841 
849118164840.445923, 15842 
28056.846023, 15843 
849118164846.156006, 15844 
28062.547445, 15845 
849118164851.873535, 15846 
28068.244934, 15847 
849118164857.581665, 15848 
28073.949933, 15849 
849118164863.305054, 15850 
28079.674959, 15851 
849118164869.009033, 15852 
28085.392952, 15853 
849118164874.705078, 15854 
28091.102481, 15855 
849118164880.414062, 15856 
28096.825480, 15857 
849118164886.126953, 15858 
28102.537036, 15859 
849118164891.854370, 15860 
28108.242631, 15861 
849118164897.577393, 15862 
28113.960147, 15863 
849118164903.288818, 15864 
28119.684696, 15865 
849118164908.997803, 15866 
28125.397682, 15867 
849118164914.712769, 15868 
28131.129265, 15869 
849118164920.436279, 15870 
28136.853695, 15871 
849118164926.177856, 15872 
28142.591596, 15873 
849118164931.920410, 15874 
28148.313642, 15875 
849118164937.660278, 15876 
28154.060721, 15877 
849118164943.403198, 15878 
28159.795761, 15879 
849118164949.157715, 15880 
28165.534258, 15881 
849118164954.913330, 15882 
28171.259284, 15883 
849118164960.664185, 15884 
28177.034736, 15885 
849118164966.412354, 15886 
28182.792664, 15887 
849118164972.155396, 15888 
28188.518643, 15889 
849118164977.906860, 15890 
28194.272637, 15891 
849118164983.654907, 15892 
28200.007200, 15893 
849118164989.413818, 15894 
28205.739617, 15895 
849118164995.175293, 15896 
28211.478114, 15897 
849118165000.944458, 15898 
28217.219114, 15899 
849118165006.706787, 15900 
28222.956181, 15901 
849118165012.459839, 15902 
28228.692174, 15903 
849118165018.228760, 15904 
28234.433770, 15905 
849118165023.997803, 15906 
